epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6204,1.06282,1.56662,0.99672,0.55853,0.55302,0.55071,0.3403,1.10196,1.06085,1.03203,0.0002737,0.0002737,0.0002737
2,17.5155,1.13573,1.08371,1.04082,0.5346,0.5374,0.53361,0.31113,1.16446,1.13147,1.05182,0.000548637,0.000548637,0.000548637
3,24.271,1.17095,1.09654,1.06343,0.59933,0.4649,0.50413,0.29522,1.18946,1.33168,1.11194,0.000820826,0.000820826,0.000820826
4,30.835,1.18827,1.07055,1.0812,0.50941,0.55327,0.52086,0.29597,1.18954,1.35475,1.1087,0.00082063,0.00082063,0.00082063
5,37.3801,1.17131,1.0178,1.05229,0.60627,0.54979,0.5812,0.35031,1.1195,0.99648,1.05386,0.000816507,0.000816507,0.000816507
6,44.0073,1.12837,0.95506,1.04818,0.6713,0.60935,0.62445,0.37171,1.13256,0.96799,1.05373,0.000812383,0.000812383,0.000812383
7,50.7303,1.12389,0.94279,1.04798,0.71993,0.60592,0.63522,0.39336,1.11785,0.94559,1.05472,0.00080826,0.00080826,0.00080826
8,57.3528,1.12268,0.92751,1.04566,0.67539,0.58224,0.64467,0.40436,1.11077,0.88818,1.04586,0.000804137,0.000804137,0.000804137
9,64.0358,1.11218,0.91317,1.03021,0.65074,0.5657,0.60308,0.37709,1.08088,0.88715,1.02857,0.000800013,0.000800013,0.000800013
10,70.7689,1.10152,0.90048,1.03119,0.70258,0.60246,0.64401,0.40571,1.0677,0.86068,1.02776,0.00079589,0.00079589,0.00079589
11,77.3866,1.06044,0.85059,1.01327,0.72421,0.60575,0.67328,0.42194,1.05429,0.84375,1.02388,0.000791767,0.000791767,0.000791767
12,83.9922,1.06837,0.86853,1.0154,0.7159,0.60477,0.6507,0.42212,1.0557,0.82007,1.02158,0.000787643,0.000787643,0.000787643
13,90.7094,1.03432,0.8128,1.00289,0.68295,0.64012,0.67402,0.42725,1.05463,0.80747,1.01204,0.00078352,0.00078352,0.00078352
14,97.316,1.04593,0.82302,1.00496,0.74252,0.65941,0.70477,0.44394,1.05311,0.7865,1.01965,0.000779396,0.000779396,0.000779396
15,103.966,1.01673,0.82219,0.99591,0.71599,0.63565,0.67815,0.43364,1.0198,0.77478,1.00777,0.000775273,0.000775273,0.000775273
16,110.701,1.02212,0.80768,1.00143,0.76033,0.58247,0.67054,0.42746,1.02583,0.78086,1.01092,0.00077115,0.00077115,0.00077115
17,117.258,1.00467,0.79079,0.99085,0.67223,0.65223,0.67483,0.44046,1.01608,0.77949,1.00792,0.000767026,0.000767026,0.000767026
18,123.758,1.01888,0.7897,0.99956,0.68368,0.62824,0.66421,0.42661,1.01502,0.826,1.00287,0.000762903,0.000762903,0.000762903
19,130.32,1.00905,0.77859,0.99541,0.6504,0.7101,0.7011,0.44832,0.99706,0.76285,1.00078,0.00075878,0.00075878,0.00075878
20,136.899,0.97379,0.7533,0.98372,0.73306,0.64393,0.71716,0.46513,0.99572,0.73414,0.99617,0.000754656,0.000754656,0.000754656
21,143.526,0.99276,0.77299,0.98857,0.76585,0.63523,0.70046,0.44573,1.04168,0.77599,1.01684,0.000750533,0.000750533,0.000750533
22,150.024,0.98229,0.75055,0.98461,0.75622,0.66572,0.71683,0.4561,1.00831,0.73743,1.0024,0.00074641,0.00074641,0.00074641
23,156.74,0.97841,0.75272,0.98193,0.79652,0.64561,0.7398,0.47842,1.01118,0.72976,1.01302,0.000742286,0.000742286,0.000742286
24,163.39,0.97413,0.71983,0.97646,0.76084,0.66575,0.72858,0.46791,0.99044,0.73517,1.00357,0.000738163,0.000738163,0.000738163
25,169.924,0.95605,0.7335,0.97775,0.76304,0.68959,0.72887,0.47543,0.9976,0.73755,0.99217,0.00073404,0.00073404,0.00073404
26,176.658,0.95494,0.71983,0.97444,0.71118,0.62723,0.70176,0.46361,0.97675,0.72792,0.99321,0.000729916,0.000729916,0.000729916
27,183.153,0.95177,0.7374,0.9682,0.75375,0.64312,0.70236,0.45623,0.99704,0.74029,1.0007,0.000725793,0.000725793,0.000725793
28,189.625,0.95389,0.71956,0.96958,0.71792,0.64879,0.70436,0.46179,1.001,0.73537,1.00793,0.00072167,0.00072167,0.00072167
29,196.171,0.93202,0.70287,0.9671,0.79314,0.62911,0.72053,0.46979,0.99137,0.71653,0.99726,0.000717546,0.000717546,0.000717546
30,202.817,0.92329,0.69462,0.96093,0.80778,0.65331,0.73005,0.48498,0.96317,0.70499,0.98508,0.000713423,0.000713423,0.000713423
31,209.453,0.93543,0.68576,0.9608,0.77893,0.64941,0.71748,0.47731,0.97558,0.72621,0.99256,0.000709299,0.000709299,0.000709299
32,215.952,0.91675,0.67852,0.94991,0.73518,0.70579,0.73447,0.47594,0.97383,0.70449,0.98513,0.000705176,0.000705176,0.000705176
33,222.625,0.90613,0.66139,0.95469,0.78376,0.70558,0.75286,0.49733,0.95999,0.68306,0.9854,0.000701053,0.000701053,0.000701053
34,229.27,0.90908,0.66911,0.95129,0.72204,0.68143,0.73351,0.48191,0.95875,0.69452,0.98716,0.000696929,0.000696929,0.000696929
35,235.852,0.92285,0.67152,0.95702,0.78699,0.67957,0.76153,0.5048,0.95886,0.68473,0.98283,0.000692806,0.000692806,0.000692806
36,242.601,0.90535,0.65246,0.95334,0.77262,0.6516,0.70897,0.47799,0.96441,0.71145,0.98144,0.000688683,0.000688683,0.000688683
37,249.183,0.89139,0.66277,0.94802,0.79985,0.65102,0.72272,0.49699,0.95537,0.71515,0.97481,0.000684559,0.000684559,0.000684559
38,255.683,0.90291,0.66864,0.95127,0.76984,0.68213,0.74153,0.50161,0.96502,0.70333,0.98692,0.000680436,0.000680436,0.000680436
39,262.194,0.89496,0.65332,0.94763,0.77177,0.70394,0.74595,0.49711,0.95008,0.67678,0.98357,0.000676313,0.000676313,0.000676313
40,268.812,0.88279,0.64887,0.94259,0.76083,0.704,0.74905,0.49201,0.97534,0.6901,0.99012,0.000672189,0.000672189,0.000672189
41,275.319,0.89722,0.66571,0.94645,0.73586,0.73208,0.76141,0.50238,0.9556,0.67763,0.98308,0.000668066,0.000668066,0.000668066
42,281.815,0.89897,0.67036,0.94544,0.81127,0.69795,0.76778,0.51236,0.93962,0.67496,0.98229,0.000663943,0.000663943,0.000663943
43,288.56,0.8755,0.63595,0.94264,0.77193,0.69316,0.75756,0.49667,0.95475,0.67232,0.98222,0.000659819,0.000659819,0.000659819
44,295.055,0.88848,0.63199,0.94178,0.73135,0.73038,0.76279,0.50478,0.9817,0.68342,0.99341,0.000655696,0.000655696,0.000655696
45,301.556,0.88873,0.64553,0.94066,0.71678,0.70792,0.7394,0.48819,0.97073,0.68727,0.99365,0.000651573,0.000651573,0.000651573
46,307.999,0.86393,0.63168,0.93603,0.8042,0.66821,0.75087,0.49735,0.94322,0.67492,0.98473,0.000647449,0.000647449,0.000647449
47,314.664,0.87068,0.62405,0.93803,0.81723,0.65007,0.75368,0.50499,0.94436,0.67038,0.98251,0.000643326,0.000643326,0.000643326
48,321.157,0.85598,0.61836,0.93086,0.74512,0.71092,0.7636,0.50944,0.96369,0.67479,0.98809,0.000639203,0.000639203,0.000639203
49,327.634,0.86201,0.6193,0.93629,0.77252,0.69061,0.77512,0.51905,0.95073,0.66783,0.98485,0.000635079,0.000635079,0.000635079
50,334.185,0.86296,0.61745,0.92894,0.74954,0.71947,0.76283,0.50162,0.96403,0.67633,0.98543,0.000630956,0.000630956,0.000630956
51,340.828,0.85453,0.60781,0.92961,0.74205,0.70313,0.74909,0.50284,0.94428,0.66517,0.98393,0.000626832,0.000626832,0.000626832
52,347.309,0.85141,0.60174,0.92615,0.79983,0.67957,0.7515,0.51458,0.94852,0.66829,0.98582,0.000622709,0.000622709,0.000622709
53,353.813,0.82897,0.58132,0.92579,0.80789,0.67435,0.75718,0.51084,0.95585,0.65301,0.98261,0.000618586,0.000618586,0.000618586
54,360.298,0.84657,0.5932,0.92981,0.76556,0.67836,0.74148,0.50232,0.94363,0.66412,0.98082,0.000614462,0.000614462,0.000614462
55,366.899,0.84815,0.59504,0.93201,0.79756,0.65601,0.74495,0.49604,0.954,0.68033,0.98137,0.000610339,0.000610339,0.000610339
56,373.375,0.85178,0.59172,0.92955,0.76076,0.75385,0.77558,0.51021,0.94922,0.66439,0.98444,0.000606216,0.000606216,0.000606216
57,379.874,0.84009,0.59049,0.92126,0.77249,0.73247,0.78067,0.51736,0.94608,0.67127,0.98456,0.000602092,0.000602092,0.000602092
58,386.372,0.84125,0.58327,0.92411,0.76936,0.71648,0.76122,0.51883,0.94744,0.67559,0.98352,0.000597969,0.000597969,0.000597969
59,392.978,0.83114,0.59442,0.92526,0.81677,0.67586,0.75394,0.51542,0.93419,0.66984,0.97464,0.000593846,0.000593846,0.000593846
60,399.474,0.83329,0.57359,0.92188,0.77109,0.72016,0.75849,0.50806,0.94122,0.6576,0.98389,0.000589722,0.000589722,0.000589722
61,405.964,0.80515,0.57084,0.91656,0.71531,0.7184,0.74303,0.50974,0.93424,0.65662,0.97919,0.000585599,0.000585599,0.000585599
62,412.599,0.82137,0.57527,0.91972,0.79315,0.67966,0.76756,0.51888,0.94141,0.65052,0.98788,0.000581476,0.000581476,0.000581476
63,419.243,0.81702,0.57365,0.91874,0.77006,0.74676,0.79379,0.53845,0.93303,0.64466,0.97697,0.000577352,0.000577352,0.000577352
64,425.875,0.81615,0.56592,0.92018,0.79348,0.69895,0.77546,0.52017,0.94119,0.66434,0.98367,0.000573229,0.000573229,0.000573229
65,432.422,0.80884,0.57938,0.91244,0.75543,0.75797,0.76927,0.52041,0.93878,0.6644,0.98449,0.000569106,0.000569106,0.000569106
66,439.018,0.80988,0.55884,0.91211,0.74305,0.7393,0.76698,0.51056,0.94227,0.65141,0.98534,0.000564982,0.000564982,0.000564982
67,445.564,0.80114,0.54803,0.91356,0.78128,0.69603,0.76742,0.52686,0.93574,0.66407,0.97288,0.000560859,0.000560859,0.000560859
68,452.041,0.79918,0.54893,0.90926,0.80355,0.71666,0.79966,0.54624,0.91552,0.65885,0.96985,0.000556736,0.000556736,0.000556736
69,458.854,0.80188,0.54383,0.91267,0.73395,0.75085,0.77272,0.51608,0.92108,0.66159,0.97578,0.000552612,0.000552612,0.000552612
70,465.398,0.80859,0.54986,0.91143,0.76305,0.71622,0.76493,0.51423,0.93195,0.67147,0.97751,0.000548489,0.000548489,0.000548489
71,471.944,0.79362,0.53696,0.90586,0.78544,0.74783,0.77905,0.5302,0.92138,0.64295,0.98027,0.000544365,0.000544365,0.000544365
72,478.497,0.7859,0.54032,0.90714,0.71669,0.72452,0.75188,0.51163,0.93021,0.67941,0.97806,0.000540242,0.000540242,0.000540242
73,485.086,0.77767,0.53882,0.90165,0.79163,0.70104,0.76597,0.52878,0.91645,0.65191,0.9758,0.000536119,0.000536119,0.000536119
74,491.61,0.79718,0.53866,0.90803,0.75464,0.73331,0.76619,0.51629,0.95657,0.6635,0.99678,0.000531995,0.000531995,0.000531995
75,498.179,0.78501,0.53413,0.90384,0.78964,0.69662,0.76904,0.53175,0.95142,0.67579,0.98827,0.000527872,0.000527872,0.000527872
76,504.841,0.77269,0.52564,0.90061,0.76588,0.72431,0.77004,0.52336,0.94026,0.66675,0.98535,0.000523749,0.000523749,0.000523749
77,511.54,0.76787,0.52441,0.89389,0.77292,0.72809,0.77203,0.52908,0.93752,0.6454,0.98203,0.000519625,0.000519625,0.000519625
78,518.026,0.75987,0.51905,0.89989,0.77327,0.70424,0.7717,0.52392,0.93626,0.65029,0.98509,0.000515502,0.000515502,0.000515502
79,524.598,0.76498,0.52788,0.90375,0.8328,0.70462,0.77802,0.53312,0.94151,0.65213,0.99092,0.000511379,0.000511379,0.000511379
80,531.101,0.75926,0.51752,0.90186,0.77464,0.70641,0.77271,0.52458,0.9297,0.66957,0.97648,0.000507255,0.000507255,0.000507255
81,537.636,0.75825,0.51677,0.89862,0.74285,0.77055,0.79445,0.54328,0.91534,0.65298,0.97181,0.000503132,0.000503132,0.000503132
82,544.135,0.76183,0.51994,0.89662,0.73778,0.726,0.75755,0.52261,0.93369,0.68436,0.98542,0.000499009,0.000499009,0.000499009
83,550.776,0.78171,0.52193,0.90387,0.80319,0.72089,0.78457,0.54066,0.92128,0.65307,0.97586,0.000494885,0.000494885,0.000494885
84,557.298,0.75546,0.50656,0.89432,0.79771,0.72411,0.76975,0.52525,0.93045,0.64294,0.98485,0.000490762,0.000490762,0.000490762
85,563.876,0.76037,0.51591,0.89537,0.71757,0.75171,0.76928,0.51952,0.93215,0.65593,0.98411,0.000486639,0.000486639,0.000486639
86,570.412,0.7626,0.51029,0.89103,0.72927,0.73364,0.78301,0.53343,0.92926,0.65429,0.98582,0.000482515,0.000482515,0.000482515
87,577.002,0.7637,0.5096,0.89197,0.77414,0.7558,0.77881,0.52769,0.92043,0.64485,0.97671,0.000478392,0.000478392,0.000478392
88,583.529,0.75456,0.5036,0.8928,0.75623,0.71986,0.75777,0.52071,0.94722,0.6672,0.98464,0.000474269,0.000474269,0.000474269
89,590.033,0.74645,0.49497,0.8922,0.76245,0.75998,0.78704,0.53918,0.92977,0.64842,0.98808,0.000470145,0.000470145,0.000470145
90,596.608,0.74173,0.50019,0.89187,0.80986,0.72255,0.78422,0.5308,0.92928,0.65128,0.98455,0.000466022,0.000466022,0.000466022
91,603.154,0.73619,0.50098,0.89044,0.75819,0.74661,0.79479,0.5549,0.93545,0.66725,0.98274,0.000461898,0.000461898,0.000461898
92,609.83,0.76291,0.50599,0.89688,0.79709,0.72418,0.77537,0.5332,0.94857,0.67726,0.98832,0.000457775,0.000457775,0.000457775
93,616.387,0.73273,0.49278,0.89044,0.80243,0.73743,0.78169,0.5435,0.93052,0.66946,0.97977,0.000453652,0.000453652,0.000453652
94,623.039,0.74085,0.48495,0.89065,0.76436,0.75343,0.76956,0.52325,0.9275,0.67139,0.98466,0.000449528,0.000449528,0.000449528
95,629.625,0.74516,0.4939,0.89793,0.75687,0.7511,0.76818,0.52095,0.92176,0.66279,0.98178,0.000445405,0.000445405,0.000445405
96,636.138,0.73533,0.48278,0.88635,0.7843,0.71845,0.77974,0.53779,0.91386,0.65606,0.97732,0.000441282,0.000441282,0.000441282
97,642.964,0.723,0.48139,0.88153,0.77377,0.75162,0.77733,0.53651,0.92579,0.65847,0.9765,0.000437158,0.000437158,0.000437158
98,649.553,0.72579,0.48138,0.88739,0.73427,0.79538,0.77856,0.53862,0.91801,0.66531,0.97906,0.000433035,0.000433035,0.000433035
99,656.097,0.72555,0.48806,0.88686,0.73625,0.78144,0.78281,0.53563,0.92652,0.65692,0.98446,0.000428912,0.000428912,0.000428912
100,662.633,0.70743,0.47175,0.8816,0.76759,0.7042,0.76247,0.52624,0.93682,0.67718,0.98083,0.000424788,0.000424788,0.000424788
101,669.225,0.73036,0.49059,0.88477,0.76297,0.7311,0.76938,0.52939,0.94152,0.67066,0.97657,0.000420665,0.000420665,0.000420665
102,675.771,0.71283,0.46985,0.88098,0.76662,0.74585,0.7721,0.53376,0.9091,0.65992,0.97306,0.000416542,0.000416542,0.000416542
103,682.34,0.71085,0.4693,0.88258,0.78763,0.73169,0.77208,0.53881,0.91866,0.66827,0.97919,0.000412418,0.000412418,0.000412418
104,688.985,0.71823,0.46652,0.88101,0.77837,0.71621,0.7684,0.5295,0.94933,0.70248,0.99505,0.000408295,0.000408295,0.000408295
105,695.573,0.7081,0.45552,0.87244,0.77535,0.73576,0.76805,0.52481,0.92732,0.65876,0.98877,0.000404172,0.000404172,0.000404172
106,702.099,0.7053,0.45729,0.87923,0.77135,0.75733,0.78264,0.54431,0.91631,0.66792,0.98081,0.000400048,0.000400048,0.000400048
107,708.699,0.6981,0.46032,0.87867,0.79473,0.71678,0.76967,0.52934,0.93769,0.67588,0.98362,0.000395925,0.000395925,0.000395925
108,715.207,0.70119,0.46479,0.87711,0.78129,0.73978,0.78184,0.54268,0.92067,0.66101,0.98088,0.000391802,0.000391802,0.000391802
109,721.725,0.70749,0.4524,0.87931,0.73773,0.7694,0.77889,0.54133,0.94906,0.67013,0.99171,0.000387678,0.000387678,0.000387678
110,728.247,0.70162,0.46265,0.88033,0.78362,0.72282,0.77282,0.54279,0.9268,0.66804,0.98425,0.000383555,0.000383555,0.000383555
111,734.942,0.69104,0.4519,0.87782,0.80479,0.73518,0.77151,0.53875,0.924,0.67043,0.97923,0.000379431,0.000379431,0.000379431
112,741.513,0.6926,0.45022,0.88097,0.79754,0.74476,0.79701,0.55218,0.93342,0.67043,0.98578,0.000375308,0.000375308,0.000375308
113,748.053,0.69327,0.45105,0.87556,0.78705,0.74457,0.77182,0.52889,0.93022,0.68709,0.98492,0.000371185,0.000371185,0.000371185
114,754.572,0.69191,0.45102,0.86845,0.79054,0.71195,0.78152,0.54049,0.939,0.66786,0.98909,0.000367061,0.000367061,0.000367061
115,761.162,0.68708,0.44443,0.87261,0.75306,0.75375,0.76398,0.51882,0.93487,0.6755,0.99225,0.000362938,0.000362938,0.000362938
116,767.62,0.68767,0.44931,0.87161,0.77137,0.72802,0.75665,0.51776,0.93586,0.68122,0.98705,0.000358815,0.000358815,0.000358815
117,774.111,0.68058,0.44187,0.87042,0.78885,0.7355,0.76613,0.52907,0.92489,0.68528,0.99261,0.000354691,0.000354691,0.000354691
118,780.66,0.68189,0.44844,0.87375,0.7612,0.74275,0.75734,0.52539,0.92609,0.66251,0.98935,0.000350568,0.000350568,0.000350568
119,787.215,0.67017,0.43312,0.87372,0.76132,0.77526,0.77571,0.53629,0.92549,0.66165,0.98986,0.000346445,0.000346445,0.000346445
120,793.693,0.66784,0.43363,0.87049,0.78263,0.75339,0.77518,0.53994,0.9307,0.66482,0.9867,0.000342321,0.000342321,0.000342321
121,800.219,0.67438,0.43631,0.8728,0.8072,0.74266,0.79026,0.54035,0.9279,0.67143,0.98742,0.000338198,0.000338198,0.000338198
122,806.836,0.66924,0.43107,0.86973,0.78615,0.76354,0.80001,0.55063,0.93291,0.65398,0.9837,0.000334075,0.000334075,0.000334075
123,813.446,0.66762,0.42849,0.8688,0.78428,0.73838,0.76767,0.52999,0.91115,0.66825,0.98001,0.000329951,0.000329951,0.000329951
124,820.149,0.65806,0.4262,0.86732,0.78467,0.73608,0.78235,0.5374,0.92652,0.67668,0.98453,0.000325828,0.000325828,0.000325828
125,826.87,0.65968,0.41586,0.86272,0.82505,0.71738,0.79281,0.55125,0.91549,0.66418,0.98047,0.000321705,0.000321705,0.000321705
126,833.448,0.65734,0.42359,0.86752,0.79014,0.74138,0.78827,0.54153,0.92232,0.67437,0.98668,0.000317581,0.000317581,0.000317581
127,840.004,0.65818,0.41552,0.86816,0.78499,0.74289,0.7783,0.53254,0.92994,0.67272,0.99331,0.000313458,0.000313458,0.000313458
128,846.543,0.65,0.41426,0.86441,0.7782,0.75972,0.77359,0.53722,0.92574,0.67257,0.99158,0.000309335,0.000309335,0.000309335
129,853.181,0.66206,0.42439,0.86403,0.78697,0.70615,0.7551,0.52433,0.93252,0.71302,0.99207,0.000305211,0.000305211,0.000305211
130,859.745,0.65183,0.41701,0.86821,0.77608,0.74009,0.7777,0.5378,0.91492,0.6732,0.98981,0.000301088,0.000301088,0.000301088
131,866.305,0.64639,0.41445,0.86444,0.77009,0.72628,0.76007,0.52218,0.91682,0.66211,0.98849,0.000296964,0.000296964,0.000296964
132,872.938,0.6455,0.41004,0.86553,0.76602,0.7324,0.77292,0.53316,0.91896,0.66591,0.9918,0.000292841,0.000292841,0.000292841
133,879.489,0.64148,0.39671,0.85683,0.80665,0.70257,0.75531,0.52627,0.92424,0.68425,0.99371,0.000288718,0.000288718,0.000288718
134,886.063,0.62966,0.39832,0.85911,0.80019,0.73362,0.77724,0.54299,0.90552,0.67179,0.98322,0.000284594,0.000284594,0.000284594
135,892.649,0.64058,0.40081,0.8575,0.77167,0.76076,0.79266,0.55638,0.91077,0.65703,0.98487,0.000280471,0.000280471,0.000280471
136,899.354,0.63715,0.40089,0.85786,0.75197,0.7766,0.78733,0.55002,0.91846,0.66946,0.99042,0.000276348,0.000276348,0.000276348
137,905.929,0.63723,0.40398,0.85736,0.78288,0.78133,0.79645,0.55615,0.9121,0.6675,0.99227,0.000272224,0.000272224,0.000272224
138,912.678,0.63004,0.40081,0.86017,0.7764,0.77372,0.7822,0.54549,0.91133,0.67311,0.98994,0.000268101,0.000268101,0.000268101
139,919.196,0.63217,0.40594,0.86127,0.76039,0.77681,0.77565,0.53811,0.91858,0.69272,0.99173,0.000263978,0.000263978,0.000263978
140,925.715,0.62167,0.4009,0.86275,0.76245,0.78088,0.78088,0.54705,0.91124,0.67113,0.98508,0.000259854,0.000259854,0.000259854
141,932.279,0.61974,0.39547,0.85384,0.77366,0.76702,0.77716,0.53916,0.91163,0.67446,0.98471,0.000255731,0.000255731,0.000255731
142,938.972,0.62158,0.39426,0.85611,0.78032,0.73722,0.76828,0.53848,0.9212,0.68175,0.99094,0.000251608,0.000251608,0.000251608
143,945.542,0.61672,0.39548,0.8586,0.78077,0.75515,0.77415,0.53933,0.91895,0.66677,0.99154,0.000247484,0.000247484,0.000247484
144,952.106,0.6149,0.39282,0.85167,0.78298,0.746,0.7782,0.54746,0.91099,0.66638,0.98836,0.000243361,0.000243361,0.000243361
145,958.734,0.61135,0.39004,0.85316,0.78288,0.74197,0.7699,0.53669,0.91354,0.68247,0.98643,0.000239238,0.000239238,0.000239238
146,965.269,0.6139,0.39035,0.85385,0.78403,0.74041,0.77781,0.54234,0.92003,0.67537,0.98852,0.000235114,0.000235114,0.000235114
147,971.887,0.61389,0.38591,0.85493,0.79437,0.77434,0.7936,0.54436,0.916,0.67141,0.99317,0.000230991,0.000230991,0.000230991
148,978.483,0.60521,0.38198,0.85385,0.78309,0.75067,0.7681,0.53211,0.92764,0.69574,0.9942,0.000226868,0.000226868,0.000226868
149,985.173,0.60325,0.38544,0.85324,0.80248,0.72775,0.77149,0.54105,0.9245,0.67638,0.99812,0.000222744,0.000222744,0.000222744
150,991.711,0.60908,0.38594,0.85343,0.79249,0.77349,0.79058,0.55102,0.91479,0.65704,0.99834,0.000218621,0.000218621,0.000218621
151,998.267,0.60504,0.38344,0.85183,0.80026,0.73096,0.7749,0.5398,0.93168,0.6724,1.00309,0.000214497,0.000214497,0.000214497
152,1004.87,0.6039,0.37807,0.85196,0.76817,0.79865,0.78908,0.54501,0.91943,0.66667,0.99645,0.000210374,0.000210374,0.000210374
153,1011.39,0.59034,0.37416,0.84668,0.79851,0.73408,0.76445,0.53756,0.91228,0.7035,0.99326,0.000206251,0.000206251,0.000206251
